00:01:8e:3f:84:90,-72.7637,17.295
00:01:8e:3f:84:90,-72.7637,17.295
00:01:8e:3f:84:91,-72.8546,8.6822
00:01:8e:3f:84:92,-84.2642,3.9674
00:01:8e:e6:89:9c,-76.1334,7.9817
00:01:8e:e6:89:9e,-76.5264,6.3967
00:0c:e6:0a:08:6c,-55.6735,23.6829
00:0c:e6:0a:3b:3a,-68,0.0001
00:0c:e6:0a:44:4a,-69,0.0001
00:0c:e6:0a:57:47,-74.5763,21.2829
00:0c:e6:0a:5e:9d,-70.2204,10.8645
00:0c:e6:0a:6e:d6,-85,0.0001
00:0c:e6:0a:94:8d,-70.3077,6.7308
00:0c:e6:0a:99:ff,-82,0.0001
00:0c:e6:0a:9e:f7,-87,0.0001
00:0c:e6:0a:aa:f5,-67.8136,13.913
00:0c:e6:0a:b0:cf,-68.7967,11.7511
00:0c:e6:0a:b7:ff,-55.7628,19.7359
00:0c:e6:0a:c7:b7,-54.8984,17.4033
00:0c:e6:0a:d6:4e,-56.0678,19.2368
00:0c:e6:0a:f5:3c,-82.5,0.2728
00:19:e3:fa:51:de,-80.5424,4.0456
00:24:36:ad:ee:16,-84.963,4.4892
00:3a:9d:a8:ab:c6,-72.0173,15.1752
00:3a:9d:a8:ab:c7,-84.898,2.7186
00:a0:b0:c4:91:1c,-67.6604,9.1517
00:a0:b0:c4:91:1d,-68.1552,7.5019
00:e0:4c:81:98:02,-82,4.3077
06:3a:9d:a8:ab:c7,-85.0613,3.8921
10:6f:3f:3d:5f:0a,-74.525,16.1533
10:6f:3f:82:b0:f8,-79.3334,10.5748
10:6f:3f:87:a2:3e,-72.4746,6.1847
10:6f:3f:87:a2:3f,-87.907,3.515
10:6f:3f:f5:31:6e,-78.4048,21.8566
1c:b1:7f:00:ee:7a,-70.7885,16.2093
1c:b1:7f:00:ee:7b,-81.7119,3.3811
1e:b1:7f:00:ee:7a,-72.7273,10.2391
1e:b1:7f:00:ee:7b,-83.0678,2.4092
24:a2:e1:ec:79:c6,-67.7797,7.8645
24:a2:e1:ec:79:c7,-83.2963,3.0427
4c:e6:76:22:1d:ee,-82,0.0001
4c:e6:76:56:bb:30,-53.5424,18.6663
4c:e6:76:c3:5d:48,-56.8814,14.6926
4c:e6:76:c3:5d:49,-69.2543,11.124
60:f8:1d:bc:08:10,-75.6154,2.4231
64:a5:c3:65:c6:0a,-62.4913,16.933
64:a5:c3:65:c6:0b,-80.5965,11.3879
64:a5:c3:66:0a:ac,-83.4483,7.5419
74:03:bd:65:74:f0,-78.4138,8.1416
74:03:bd:ab:64:80,-71.7667,17.4265
88:1f:a1:2f:2d:64,-70.1865,9.0854
88:57:ee:7d:1a:00,-69.2038,4.5804
88:57:ee:7d:1a:07,-83.9492,3.5319
88:57:ee:8a:53:dc,-78.1695,6.1777
90:72:40:10:c9:e4,-73.353,12.9626
90:72:40:10:c9:e5,-87.0417,0.8243
90:84:0d:df:47:c7,-75.5218,9.6246
90:84:0d:df:47:c8,-86,0.0001
bc:5c:4c:30:0f:e2,-72.2143,22.9154
c0:25:a2:35:b4:f2,-80.48,8.26
c0:25:a2:89:60:1a,-74,13
c0:25:a2:89:60:1b,-80,10.9091
dc:fb:02:29:23:c0,-83.087,8.2649
dc:fb:02:ab:f9:b0,-76.5,10.9717
dc:fb:02:ab:f9:b5,-87,0.0001
f8:1e:df:ff:50:db,-77.3726,14.7185
f8:1e:df:ff:50:dc,-85,0.0001
fa:8f:ca:9e:0c:b5,-66,9.6572
