BSSID,•½‹Ï,•ªŽU
00:01:8e:3f:84:90,-74.19565217,3.760869565
00:01:8e:3f:84:91,-73.42857143,4.152073733
00:01:8e:3f:84:92,-86.34042553,0.968547641
00:01:8e:41:6e:aa,-83,0
00:01:8e:e6:89:9c,-73.66071429,5.246428571
00:01:8e:e6:89:9e,-74.74647887,8.59195171
00:0c:e6:0a:08:6c,-56.61904762,11.46543779
00:0c:e6:0a:3b:3a,-48.43181818,9.167711599
00:0c:e6:0a:44:4a,-48.61363636,8.768547544
00:0c:e6:0a:57:47,-71.73809524,30.43660356
00:0c:e6:0a:5e:9d,-69.28409091,14.80342215
00:0c:e6:0a:6e:d6,-54.40909091,5.049111808
00:0c:e6:0a:94:8d,-48.42045455,8.637277952
00:0c:e6:0a:99:ff,-54.71590909,6.826410658
00:0c:e6:0a:9e:f7,-56.89772727,4.713557994
00:0c:e6:0a:aa:f5,-65.14772727,17.04689133
00:0c:e6:0a:b0:cf,-67.10227273,18.66758098
00:0c:e6:0a:b7:ff,-54.31818182,8.31138976
00:0c:e6:0a:c7:b7,-55.40909091,7.715778474
00:0c:e6:0a:d5:1a,-48.45945946,9.347649019
00:0c:e6:0a:d6:4e,-54.67045455,7.763714734
00:0c:e6:0a:f5:3c,-55,4.609756098
00:19:e3:fa:51:de,-79.39772727,1.759535005
00:22:cf:e3:b4:07,-86.66666667,4
00:24:36:ad:ee:16,-82.90909091,5.003134796
00:3a:9d:a8:ab:c6,-70.59090909,5.623824451
00:3a:9d:a8:ab:c7,-85.34117647,1.370308123
00:a0:b0:c4:91:1c,-66.97468354,6.076273937
00:a0:b0:c4:91:1d,-67.18072289,5.735233617
00:e0:4c:81:98:02,-82.12,1.276666667
06:3a:9d:a8:ab:c7,-84.68604651,1.72380301
10:6f:3f:3d:5f:0a,-73.09411765,6.157703081
10:6f:3f:87:a2:3e,-72.5862069,8.152365678
10:6f:3f:87:a2:3f,-85.97674419,1.740629275
10:6f:3f:f5:31:6e,-74.38983051,22.93161894
1c:b1:7f:00:ee:7a,-67.68493151,5.691019787
1c:b1:7f:00:ee:7b,-79.29545455,2.693312435
1e:b1:7f:00:ee:7a,-69.58823529,12.93239684
1e:b1:7f:00:ee:7b,-80.64772727,4.414707419
24:a2:e1:ec:79:c6,-66.64772727,7.656086729
24:a2:e1:ec:79:c7,-82.80681818,5.353056426
4c:e6:76:22:1d:ee,-84.625,0.553571429
4c:e6:76:56:bb:30,-46.56818182,20.63897597
4c:e6:76:c3:5d:48,-56.27272727,2.660397074
4c:e6:76:c3:5d:49,-70.34090909,3.261755486
60:f8:1d:bc:08:10,-73.8,4.273684211
64:a5:c3:65:c6:0a,-60.94318182,9.203631139
64:a5:c3:65:c6:0b,-75.77272727,6.476489028
74:03:bd:65:74:f0,-78,0
74:03:bd:ab:64:80,-67,0
88:1f:a1:2f:2d:64,-69.28915663,6.52512489
88:57:ee:7d:1a:00,-65.56818182,7.627481714
88:57:ee:7d:1a:07,-82.75,1.614942529
88:57:ee:8a:53:d8,-61.60227273,8.702063741
90:72:40:10:c9:e4,-70.18367347,8.528061224
90:72:40:10:c9:e5,-86.75324675,2.267259057
90:84:0d:df:47:c7,-74.68181818,12.0048951
90:84:0d:df:47:c8,-87,0
9c:5c:8e:8a:58:10,-73.04054054,27.08052573
bc:5c:4c:30:0f:e2,-71.35294118,18.4171123
c0:25:a2:35:b4:f2,-81.84615385,4.307692308
c0:25:a2:89:60:1a,-69.95,6.664102564
c0:25:a2:89:60:1b,-78.25925926,2.919444444
c2:25:a2:ce:b2:12,-67.67045455,5.533829676
c6:25:a2:ce:b2:12,-67.90909091,4.842215256
dc:fb:02:29:23:c0,-75,0
dc:fb:02:ab:f9:b0,-73.3125,2.875791139
dc:fb:02:ab:f9:b5,-86,1.714285714
de:fb:02:29:23:c4,-75,0
fa:8f:ca:9e:0c:b5,-65.52,7.193469388
fc:3f:7c:8c:b6:19,-76.73684211,1.649122807
