00:01:8e:3f:84:90,-71,0.001
00:01:8e:3f:84:91,-78.52,2.76
00:01:8e:3f:84:92,-85,0.001
00:01:8e:e6:89:9c,-86,0.001
00:01:8e:e6:89:9e,-87.0667,1.0667
00:0c:e6:0a:08:6c,-42.383,79.6328
00:0c:e6:0a:3b:3a,-66.9768,2.5471
00:0c:e6:0a:44:4a,-64,0.001
00:0c:e6:0a:57:47,-73.7885,216.9936
00:0c:e6:0a:5e:9d,-53.1207,39.3361
00:0c:e6:0a:6e:d6,-83,0.001
00:0c:e6:0a:94:8d,-69,0.001
00:0c:e6:0a:99:ff,-77,0.001
00:0c:e6:0a:9e:f7,-83.3334,0.8653
00:0c:e6:0a:aa:f5,-51.9483,17.1728
00:0c:e6:0a:b0:cf,-50.7759,18.9489
00:0c:e6:0a:b7:ff,-47.6667,90.5834
00:0c:e6:0a:c7:b7,-40.6492,30.6247
00:0c:e6:0a:d5:1a,-67,0.001
00:0c:e6:0a:d6:4e,-45.7193,97.027
00:0c:e6:0a:f5:3c,-86,0.001
00:0d:0b:cc:05:f9,-87,0.001
00:19:e3:fa:51:de,-77,0.001
00:24:36:ad:ee:16,-83,0.001
00:26:87:0d:b4:8a,-78.6852,9.4274
00:3a:9d:a8:ab:c7,-87,0.001
00:3a:9d:dd:0f:b3,-87.8919,0.2103
00:90:cc:e3:b0:81,-78,0.001
00:a0:b0:c4:91:1c,-74.6227,13.8934
00:a0:b0:c4:91:1d,-76.0728,5.8465
02:13:02:00:00:60,-83,0.001
02:3a:9d:dd:0f:b2,-83.4728,10.0687
06:26:87:0d:b4:8a,-77.6112,11.412
06:3a:9d:a8:ab:c7,-87,0.001
10:6f:3f:87:a2:3f,-88,0.001
10:6f:3f:ac:c5:bc,-72.7223,11.5252
10:6f:3f:ac:e0:48,-85.08,1.3813
10:6f:3f:f5:31:6e,-80,0.001
1c:b1:7f:00:ee:7a,-76.8889,38.1112
1c:b1:7f:00:ee:7b,-74,0.001
1c:b1:7f:38:c3:72,-68.8036,14.7789
1c:b1:7f:38:c3:73,-77.4737,4.5395
1e:b1:7f:00:ee:7a,-81.8158,0.1544
1e:b1:7f:00:ee:7b,-76,0.001
1e:b1:7f:38:c3:72,-71.8215,24.2221
1e:b1:7f:38:c3:73,-79.2983,7.3917
24:a2:e1:ec:79:c6,-75.9656,9.3673
24:a2:e1:ec:79:c7,-84,0.001
4c:e6:76:56:bb:30,-61,0.001
4c:e6:76:c2:6b:d7,-85.4783,0.8064
4c:e6:76:c3:5d:48,-83.2882,117.4846
4c:e6:76:c3:5d:49,-65,0.001
60:f8:1d:bc:08:10,-78,0.001
64:a5:c3:65:c6:0b,-79,0.001
64:a5:c3:66:0a:ac,-82.8206,0.9933
74:03:bd:ab:64:80,-76.6579,12.5015
88:1f:a1:2f:2d:64,-79.55,13.3132
88:57:ee:7d:1a:00,-69,0.001
88:57:ee:7d:1a:07,-85,0.001
88:57:ee:8a:53:dc,-82,0.001
90:84:0d:df:47:c7,-79.3914,1.888
b6:8b:19:d7:0c:6a,-77.6364,2.5282
bc:5c:4c:30:0f:e2,-88,0.001
c0:25:a2:89:60:1a,-80.5758,2.8769
c4:3a:be:23:d0:d7,-81.8302,5.0284
dc:fb:02:29:23:c0,-81,0.001
dc:fb:02:91:6c:10,-65.4822,2.7634
dc:fb:02:91:6c:15,-78.7018,10.3202
dc:fb:02:ab:f9:b0,-82.425,3.1225
dc:fb:02:ab:f9:b5,-85,0.001
ee:08:8d:73:62:ec,-86,0.001
fa:8f:ca:9e:0c:b5,-71,0.001
