88:1f:a1:2f:2d:64,-83.96
00:26:87:0d:b4:8a,-86
10:6f:3f:3d:5f:0a,-82.55813953
64:a5:c3:66:0a:ac,-69.13559322
64:a5:c3:66:0a:ad,-77.81355932
4c:e6:76:56:bb:30,-76.30769231
24:a2:e1:ec:79:c6,-80.5
1c:b1:7f:00:ee:7b,-83.38983051
1e:b1:7f:00:ee:7b,-85.03389831
1c:b1:7f:00:ee:7a,-71.94642857
1e:b1:7f:00:ee:7a,-71.34883721
1c:b1:7f:38:c3:73,-85.66666667
1e:b1:7f:38:c3:73,-87.8
1c:b1:7f:38:c3:72,-80.92105263
1e:b1:7f:38:c3:72,-80.2244898
1c:b1:7f:38:c3:77,-84
1e:b1:7f:38:c3:77,-85
1c:b1:7f:38:c3:76,-83
1e:b1:7f:38:c3:76,-88.33333333
4c:e6:76:4f:14:e2,-86
dc:fb:02:29:23:c0,-80.08
88:57:ee:8a:53:d8,-77.03448276
10:6f:3f:ac:e0:48,-88
00:24:36:af:65:57,-80.95
06:26:87:0d:b4:8a,-86
c8:d3:ff:7f:67:f7,-86.56756757
00:0c:e6:0a:d6:4e,-57.13793103
00:0c:e6:0a:b0:cf,-68.95
00:0c:e6:0a:94:8d,-66
00:0c:e6:0a:99:ff,-87
00:0c:e6:0a:c7:b7,-55.76666667
00:0c:e6:0a:aa:f5,-72.65
00:0c:e6:0a:44:4a,-67
00:0c:e6:0a:6e:d6,-87.33333333
dc:fb:02:ab:f9:b0,-79.47058824
dc:fb:02:91:6c:15,-81
dc:fb:02:91:6c:10,-76.75
00:0c:e6:0a:b7:ff,-55.75
00:0c:e6:0a:5e:9d,-72.36666667
00:0c:e6:0a:9e:f7,-88
00:01:8e:e6:89:9e,-82.13207547
00:01:8e:e6:89:9c,-81.93103448
00:01:8e:3f:84:92,-89
de:fb:02:29:23:c4,-81.34782609
74:03:bd:65:74:f0,-84.58333333
00:01:8e:41:6e:aa,-87.92
c0:25:a2:35:b4:f2,-87.31034483
90:84:0d:df:47:c7,-82.56603774
00:19:e3:fa:51:de,-86.49152542
00:3a:9d:a8:ab:c6,-67.45
00:3a:9d:a8:ab:c7,-88
00:90:cc:e3:b0:81,-80
00:a0:b0:c4:91:1c,-72.84
00:a0:b0:c4:91:1d,-71.93220339
00:e0:4c:81:98:02,-88.31034483
00:22:cf:e3:b4:07,-88
4c:e6:76:c3:5d:49,-90
4c:e6:76:c3:5d:48,-73.48148148
c0:25:a2:89:60:1a,-74.86440678
10:6f:3f:87:a2:3e,-77
88:57:ee:7d:1a:00,-82.6
06:3a:9d:a8:ab:c7,-88.96551724
,#N/A
00:3a:9d:dd:0f:b3,-86
00:0c:e6:0a:08:6c,-59.46808511
00:0c:e6:0a:57:47,-71
fc:3f:7c:8c:b6:19,-81.28205128
90:72:40:10:c9:e4,-76.38235294
c0:25:a2:89:60:1b,-84.15625
74:03:bd:ab:64:80,-68.6
fa:8f:ca:9e:0c:b5,-78.0952381
00:0c:e6:0a:f5:3c,-87
