88:1f:a1:2f:2d:64,-81.33333333
10:6f:3f:3d:5f:0a,-79.29824561
64:a5:c3:66:0a:ac,-67.58333333
4c:e6:76:56:bb:30,-64.2
24:a2:e1:ec:79:c6,-77.94
1c:b1:7f:00:ee:7b,-75.51666667
1e:b1:7f:00:ee:7b,-77.21666667
1c:b1:7f:00:ee:7a,-66.66101695
1e:b1:7f:00:ee:7a,-67.30508475
1c:b1:7f:38:c3:73,-84.38095238
1e:b1:7f:38:c3:73,-86.02380952
1c:b1:7f:38:c3:72,-81.35714286
1e:b1:7f:38:c3:72,-81.78571429
1e:b1:7f:38:c3:77,-87.63157895
1e:b1:7f:38:c3:76,-89
4c:e6:76:4f:14:e2,-84.45454545
dc:fb:02:29:23:c0,-76.03571429
88:57:ee:8a:53:d8,-70.60784314
c8:d3:ff:7f:67:f7,-85.65
00:0c:e6:0a:d6:4e,-52.46666667
00:0c:e6:0a:b0:cf,-64.40677966
00:0c:e6:0a:99:ff,-78.67924528
00:0c:e6:0a:94:8d,-68.53571429
00:0c:e6:0a:c7:b7,-52.41666667
00:0c:e6:0a:aa:f5,-63.45
00:0c:e6:0a:6e:d6,-78.13333333
00:0c:e6:0a:44:4a,-67.66666667
dc:fb:02:ab:f9:b0,-75.69387755
dc:fb:02:91:6c:15,-86.7826087
dc:fb:02:91:6c:10,-87
88:57:ee:8a:53:dc,-85.55555556
00:0c:e6:0a:5e:9d,-66.1
00:0c:e6:0a:b7:ff,-50.70689655
00:0c:e6:0a:9e:f7,-80.16326531
00:0c:e6:0a:3b:3a,-67.41176471
00:01:8e:e6:89:9c,-78.23076923
00:01:8e:e6:89:9e,-79.18181818
00:01:8e:3f:84:92,-86
de:fb:02:29:23:c4,-77.21818182
10:6f:3f:82:b0:f8,-76
10:6f:3f:81:b5:c4,-86
74:03:bd:65:74:f0,-85.2
00:01:8e:41:6e:aa,-82.38095238
c0:25:a2:35:b4:f2,-84
00:19:e3:fa:51:de,-82.8
90:84:0d:df:47:c7,-79.63793103
00:3a:9d:a8:ab:c6,-69.83333333
00:3a:9d:a8:ab:c7,-85.43902439
00:a0:b0:c4:91:1c,-68.36666667
00:a0:b0:c4:91:1d,-68.66666667
64:a5:c3:65:c6:0b,-83
64:a5:c3:65:c6:0a,-71
60:f8:1d:bc:08:10,-81
4c:e6:76:c3:5d:49,-76.78333333
4c:e6:76:c3:5d:48,-68.1
c0:25:a2:89:60:1a,-72.15384615
00:24:36:ad:ee:16,-84
10:6f:3f:87:a2:3f,-86.69230769
10:6f:3f:87:a2:3e,-74.11864407
88:57:ee:7d:1a:00,-75.52173913
10:6f:3f:f5:31:6e,-85
06:3a:9d:a8:ab:c7,-85.19607843
00:0c:e6:0a:08:6c,-55.51724138
bc:5c:4c:30:0f:e2,-72.35714286
c0:25:a2:89:60:1b,-80
00:0c:e6:0a:57:47,-69.43137255
74:03:bd:ab:64:80,-71.90909091
00:0c:e6:0a:f5:3c,-80.41304348
90:72:40:10:c9:e5,-85.95121951
90:72:40:10:c9:e4,-77.44
fc:3f:7c:8c:b6:19,-79.62068966
fa:8f:ca:9e:0c:b5,-73.71428571
