00:01:8e:3f:84:90,-83.3334,17.0667
00:01:8e:3f:84:90,-83.3334,17.0667
00:01:8e:3f:84:91,-81.75,29.8816
00:01:8e:e6:89:9c,-87,0.001
00:01:8e:e6:89:9e,-84.5,7.7143
00:0c:e6:0a:44:4a,-76,0.001
00:0c:e6:0a:57:47,-73.7,66.5
00:0c:e6:0a:5e:9d,-70.0863,13.1328
00:0c:e6:0a:6e:d6,-88,0.001
00:0c:e6:0a:9e:f7,-87.5,1.1053
00:0c:e6:0a:aa:f5,-67.9656,5.4023
00:0c:e6:0a:b0:cf,-68.569,18.7057
00:0c:e6:0a:b7:ff,-57.3621,32.8316
00:0c:e6:0a:c7:b7,-56.8621,26.3667
00:0c:e6:0a:d5:1a,-76,0.001
00:0c:e6:0a:f5:3c,-87.4375,5.5959
00:0d:0b:cc:05:f9,-71.6667,11.9792
00:19:e3:fa:51:de,-86.4286,11.1949
00:24:36:ad:ee:16,-83,0.001
00:26:87:0d:b4:8a,-76.8847,9.4375
00:3a:9d:a8:ab:c6,-83.6364,27.6546
00:3a:9d:dd:0f:b2,-77.1334,2.6713
00:3a:9d:dd:0f:b3,-81.6,4.8616
00:a0:b0:c4:91:1c,-71.1965,6.2699
00:a0:b0:c4:91:1d,-70.5371,9.5741
02:13:02:00:00:60,-81.1731,7.6362
02:3a:9d:dd:0f:b2,-81.0218,14.5107
06:26:87:0d:b4:8a,-76.5186,9.5752
10:6f:3f:87:a2:3e,-68,0.001
10:6f:3f:87:a2:3f,-85,0.001
10:6f:3f:ac:c5:bc,-71.7223,8.5818
10:6f:3f:ac:e0:48,-81.5,6.934
1c:b1:7f:00:ee:7a,-84.3334,28
1c:b1:7f:00:ee:7b,-77,0.001
1c:b1:7f:38:c3:72,-82.4815,6.594
1c:b1:7f:38:c3:73,-86.077,1.7539
1e:b1:7f:00:ee:7a,-78,0.001
1e:b1:7f:00:ee:7b,-78,0.001
1e:b1:7f:38:c3:72,-81.6852,13.1255
1e:b1:7f:38:c3:73,-87.577,1.6139
24:a2:e1:ec:79:c6,-62.3794,19.6431
24:a2:e1:ec:79:c7,-77.5556,3.6856
4c:e6:76:56:bb:30,-72.9445,24.4085
4c:e6:76:c3:5d:49,-85.7353,44.746
60:f8:1d:bc:08:10,-72.9057,10.0102
64:a5:c3:65:c6:0a,-70,0.001
64:a5:c3:66:0a:ac,-86.2106,17.9533
74:03:bd:65:74:f0,-78,0.001
88:1f:a1:2f:2d:64,-74.5518,7.164
88:57:ee:7d:1a:00,-75.3824,20.7282
88:57:ee:7d:1a:07,-84.5741,3.268
88:57:ee:8a:53:dc,-81,0.001
90:72:40:10:c9:e5,-86,0.001
90:84:0d:df:47:c7,-73.1404,5.98
90:84:0d:df:47:c8,-84.5371,5.5741
b6:8b:19:d7:0c:6a,-77.8704,8.0018
c0:25:a2:35:b4:f2,-89,0.001
c0:25:a2:89:60:1a,-81.4706,13.8898
c0:25:a2:89:60:1b,-83.4546,12.4728
c4:3a:be:23:d0:d7,-73.5088,4.8259
dc:fb:02:91:6c:10,-79.7347,10.2407
dc:fb:02:91:6c:15,-88,1.2143
dc:fb:02:ab:f9:b0,-77,0.001
dc:fb:02:ab:f9:b5,-88,0.001
ee:08:8d:73:62:ec,-82.7143,7.6667
f8:1e:df:ff:50:db,-85.25,10.5
fa:8f:ca:9e:0c:b5,-83.375,0.7664
