00:01:8e:3f:84:90,-77.85714286,7.333333333
00:01:8e:3f:84:91,-78.75757576,9.501893939
00:01:8e:41:6e:aa,-87,0
00:01:8e:e6:89:9c,-82.5,6.084745763
00:01:8e:e6:89:9e,-82.66,4.963673469
00:0c:e6:0a:08:6c,-61.11864407,53.69257744
00:0c:e6:0a:3b:3a,-77,0
00:0c:e6:0a:57:47,-78.12903226,31.29455315
00:0c:e6:0a:5e:9d,-73.73913043,26.90153453
00:0c:e6:0a:6e:d6,-85.11764706,2.288770053
00:0c:e6:0a:99:ff,-85.80555556,1.246825397
00:0c:e6:0a:9e:f7,-85.75757576,1.439393939
00:0c:e6:0a:aa:f5,-70.84057971,32.51832907
00:0c:e6:0a:b0:cf,-72.23188406,33.38661552
00:0c:e6:0a:b7:ff,-57.63768116,24.02855925
00:0c:e6:0a:c7:b7,-57.86956522,24.49744246
00:0c:e6:0a:d6:4e,-58.33333333,28.10784314
00:0c:e6:0a:f5:3c,-85.02941176,2.696078431
00:19:e3:fa:51:de,-72.87692308,2.109615385
00:26:87:0d:b4:8a,-79,0
00:3a:9d:a8:ab:c6,-76.92424242,6.563403263
00:3a:9d:dd:0f:b2,-81,#DIV/0!
00:3a:9d:dd:0f:b3,-79,0
00:90:cc:e3:b0:81,-85.90909091,22.09090909
00:a0:b0:c4:91:1c,-72.73913043,5.136828645
00:a0:b0:c4:91:1d,-72.484375,2.729910714
00:e0:4c:81:98:02,-88.5,0.272727273
02:3a:9d:dd:0f:b2,-83,#DIV/0!
06:26:87:0d:b4:8a,-79,0
06:3a:9d:a8:ab:c7,-90,0
10:6f:3f:3d:5f:0a,-85.2,2.314285714
10:6f:3f:87:a2:3e,-81.56923077,3.811538462
10:6f:3f:ac:c5:bc,-84.88888889,38.11111111
10:6f:3f:ac:e0:48,-80,0
1c:b1:7f:00:ee:7a,-75.7826087,5.937340153
1c:b1:7f:00:ee:7b,-82.77941176,1.875987709
1c:b1:7f:38:c3:77,-86,0
1e:b1:7f:00:ee:7a,-74.53623188,17.16410912
1e:b1:7f:00:ee:7b,-84.66666667,2.37254902
1e:b1:7f:38:c3:76,-78,#DIV/0!
1e:b1:7f:38:c3:77,-87,0
24:a2:e1:ec:79:c6,-80.13043478,6.997442455
4c:e6:76:4f:14:e2,-89.56,0.84
4c:e6:76:56:bb:30,-74.30909091,5.958249158
4c:e6:76:c3:5d:48,-76.2173913,10.31969309
4c:e6:76:c3:5d:49,-91,0
60:f8:1d:bc:08:10,-85,0
64:a5:c3:65:c6:0a,-80.03921569,18.47843137
64:a5:c3:66:0a:ac,-68.62318841,9.885336743
64:a5:c3:66:0a:ad,-73.76470588,5.346795435
74:03:bd:65:74:f0,-82.35,0.555263158
74:03:bd:ab:64:80,-75,0
88:1f:a1:2f:2d:64,-85.07407407,9.84045584
88:57:ee:7d:1a:00,-85,0
90:72:40:10:c9:e4,-73.52631579,6.682330827
90:84:0d:df:47:c7,-81.60655738,10.00928962
90:84:0d:df:47:c8,-86,0
bc:5c:4c:30:0f:e2,-86.23076923,0.504615385
c0:25:a2:89:60:1a,-77.63235294,12.1165496
c0:25:a2:89:60:1b,-84.1875,2.368351064
dc:fb:02:29:23:c0,-81.19298246,9.908521303
dc:fb:02:91:6c:10,-80.28301887,16.09143687
dc:fb:02:91:6c:15,-83,0
dc:fb:02:ab:f9:b0,-76.82,6.722040816
dc:fb:02:ab:f9:b5,-87,0
fa:8f:ca:9e:0c:b5,-78.57575758,10.68939394
