BSSID,•½‹Ï,•ªŽU
00:01:8e:e6:89:9c,-86.02941176,4.877896613
00:01:8e:e6:89:9e,-85.69230769,6.730769231
00:0c:e6:0a:08:6c,-41.10294118,112.7802897
00:0c:e6:0a:3b:3a,-68.10869565,0.63236715
00:0c:e6:0a:44:4a,-66.5,2.851851852
00:0c:e6:0a:57:47,-65.73972603,300.8896499
00:0c:e6:0a:5e:9d,-51.47297297,88.77323214
00:0c:e6:0a:6e:d6,-80.92647059,16.48705004
00:0c:e6:0a:94:8d,-69.07894737,21.85846373
00:0c:e6:0a:99:ff,-80.44615385,9.625961538
00:0c:e6:0a:9e:f7,-82.453125,9.712053571
00:0c:e6:0a:aa:f5,-45.2972973,47.80081451
00:0c:e6:0a:b0:cf,-47.08108108,93.82895224
00:0c:e6:0a:b7:ff,-40.7972973,65.83506109
00:0c:e6:0a:c7:b7,-41.13513514,75.07737875
00:0c:e6:0a:d5:1a,-68.875,28.125
00:0c:e6:0a:d6:4e,-42.68918919,89.55960755
00:0c:e6:0a:f5:3c,-82.31884058,10.36743393
00:0d:0b:cc:05:f9,-70.04109589,15.42884323
00:19:e3:fa:51:de,-86.6,2.243478261
00:26:87:0d:b4:8a,-75.5890411,8.356544901
00:3a:9d:a8:ab:c6,-78.6097561,7.493902439
00:3a:9d:a8:ab:c7,-86,0
00:3a:9d:dd:0f:b2,-78.2962963,41.21652422
00:3a:9d:dd:0f:b3,-76.50793651,0.479774706
00:90:cc:e3:b0:81,-82,0
00:a0:b0:c4:91:1c,-74.05128205,13.31309042
00:a0:b0:c4:91:1d,-75.97916667,16.91445035
00:e0:4c:81:98:02,-89,1.090909091
02:3a:9d:dd:0f:b2,-80.50746269,11.13251922
06:26:87:0d:b4:8a,-75.84931507,7.713089802
06:3a:9d:a8:ab:c7,-86,0
10:6f:3f:3d:5f:0a,-90,0
10:6f:3f:87:a2:3e,-83.7826087,11.72332016
10:6f:3f:ac:c5:bc,-69.34545455,6.971043771
10:6f:3f:ac:e0:48,-78.43661972,1.592354125
1c:b1:7f:00:ee:7a,-82.1,7.955172414
1c:b1:7f:00:ee:7b,-84.859375,4.979910714
1c:b1:7f:38:c3:72,-67.10958904,4.98782344
1c:b1:7f:38:c3:73,-77.30136986,2.630136986
1c:b1:7f:38:c3:76,-82.87179487,8.114709852
1c:b1:7f:38:c3:77,-83.44444444,2.813771518
1e:b1:7f:00:ee:7a,-82.60869565,5.976811594
1e:b1:7f:00:ee:7b,-86.22535211,5.177062374
1e:b1:7f:38:c3:72,-67.09589041,6.226788432
1e:b1:7f:38:c3:73,-79.54794521,1.834474886
1e:b1:7f:38:c3:76,-82.33333333,11.54871795
1e:b1:7f:38:c3:77,-85.40277778,1.596048513
24:a2:e1:ec:79:c6,-75.24324324,2.789337282
24:a2:e1:ec:79:c7,-86.33333333,6.091954023
4c:e6:76:56:bb:30,-82,63
4c:e6:76:c3:5d:48,-78.85135135,12.6214365
4c:e6:76:c3:5d:49,-79,0
60:f8:1d:bc:08:10,-78.48214286,4.363311688
64:a5:c3:65:c6:0a,-72,0
64:a5:c3:65:c6:0b,-84,0
64:a5:c3:66:0a:ac,-85.10714286,27.21031746
64:a5:c3:66:0a:ad,-74,0
74:03:bd:ab:64:80,-73,0
88:1f:a1:2f:2d:64,-81.68965517,6.007389163
88:57:ee:7d:1a:00,-77.59016393,3.045901639
88:57:ee:8a:53:d8,-84.69230769,22.23076923
90:72:40:10:c9:e4,-82,0
90:72:40:10:c9:e5,-88,0
90:84:0d:df:47:c7,-80.32394366,4.16498994
90:84:0d:df:47:c8,-85.77941176,0.890913082
a6:12:42:0b:95:9f,-75.47945205,8.197488584
bc:5c:4c:30:0f:e2,-57,0
c0:25:a2:89:60:1a,-85.66666667,6.25
c0:25:a2:89:60:1b,-84.23333333,4.62259887
c2:25:a2:ce:b2:12,-79.80821918,3.740487062
c6:25:a2:ce:b2:12,-79.93442623,5.062295082
dc:fb:02:91:6c:10,-65.49315068,8.114535769
dc:fb:02:91:6c:15,-79.16438356,4.805936073
dc:fb:02:ab:f9:b0,-82.10526316,0.65497076
fa:8f:ca:9e:0c:b5,-86.5,4.285714286
fc:3f:7c:8c:b6:19,-86.44,11.59
