BSSID,•½‹Ï,•ªŽU
4c:e6:76:c3:5d:48,-76.36486486,0.837652721
00:0c:e6:0a:aa:f5,-67.27027027,10.41910404
00:0c:e6:0a:5e:9d,-69.86486486,10.88559793
00:0c:e6:0a:b0:cf,-68.55405405,7.592928545
00:0c:e6:0a:c7:b7,-59.51351351,18.5546094
c2:25:a2:ce:b2:12,-64.67567568,5.208441318
88:57:ee:8a:53:d8,-78.44594595,6.825805257
00:0c:e6:0a:99:ff,-84.22222222,7.313131313
00:0c:e6:0a:b7:ff,-59.91891892,15.41799334
c6:25:a2:ce:b2:12,-65.10810811,7.768974454
00:0c:e6:0a:d6:4e,-58.91891892,12.92484265
00:3a:9d:a8:ab:c6,-73.73611111,3.887128326
00:a0:b0:c4:91:1d,-74.47297297,2.608848575
90:84:0d:df:47:c7,-82.25396825,2.61187916
00:a0:b0:c4:91:1c,-74.08108108,1.719363199
c0:25:a2:89:60:1a,-77.17777778,16.42222222
64:a5:c3:66:0a:ad,-76.01351351,6.479266938
64:a5:c3:66:0a:ac,-65.59459459,5.94298408
a6:12:42:0b:95:9f,-76.01351351,8.479266938
dc:fb:02:91:6c:10,-80.83333333,4.057971014
1c:b1:7f:38:c3:72,-84.69444444,3.116588419
1e:b1:7f:38:c3:72,-84.05,3.065254237
4c:e6:76:c3:5d:48,-76.36486486,0.837652721
1c:b1:7f:00:ee:7b,-81.47945205,3.669710807
1c:b1:7f:38:c3:73,-85.6122449,0.575680272
00:19:e3:fa:51:de,-85.53424658,1.641171994
1e:b1:7f:00:ee:7b,-84.31506849,1.77435312
1e:b1:7f:38:c3:73,-87.08695652,0.747826087
c0:25:a2:89:60:1b,-84.07692308,4.546558704
00:3a:9d:a8:ab:c7,-86.16949153,1.901811806
88:57:ee:7d:1a:00,-81.26,2.971836735
10:6f:3f:87:a2:3e,-81.234375,1.071180556
06:3a:9d:a8:ab:c7,-85.53968254,2.833077317
74:03:bd:ab:64:80,-70.55555556,1.111111111
4c:e6:76:c3:5d:49,-87.61538462,2.423076923
00:0c:e6:0a:9e:f7,-85.53333333,2.072727273
00:0c:e6:0a:6e:d6,-85.96226415,2.460087083
fa:8f:ca:9e:0c:b5,-80.92307692,1.076923077
bc:5c:4c:30:0f:e2,-84.1627907,6.187153931
dc:fb:02:29:23:c0,-82,5.928571429
00:01:8e:3f:84:91,-78.5,9.890909091
00:0c:e6:0a:57:47,-74.89830508,75.05844535
24:a2:e1:ec:79:c6,-81.13043478,2.300395257
4c:e6:76:56:bb:30,-77.06,2.588163265
00:0c:e6:0a:f5:3c,-85.56363636,1.731986532
1e:b1:7f:00:ee:7a,-75.27419355,13.87440508
00:0c:e6:0a:08:6c,-59.35714286,38.56103896
1c:b1:7f:00:ee:7a,-75.49180328,8.620765027
00:0c:e6:0a:3b:3a,-78.5,2.423076923
00:01:8e:3f:84:90,-77.38461538,8.611336032
00:0c:e6:0a:44:4a,-75,0
4c:e6:76:22:1d:ee,-87,0
dc:fb:02:ab:f9:b5,-85.53061224,2.087585034
dc:fb:02:ab:f9:b0,-73.22,13.35877551
88:1f:a1:2f:2d:64,-86,0
60:f8:1d:bc:08:10,-90,0
4c:e6:76:4f:14:e2,-88,0
00:01:8e:e6:89:9c,-85,0
de:fb:02:29:23:c4,-79,0
10:6f:3f:3d:5f:0a,-85.33333333,2.666666667
90:72:40:10:c9:e4,-78,0
02:3a:9d:dd:0f:b2,-91,0
00:01:8e:e6:89:9e,-83,0
90:72:40:10:c9:e5,-89,
