BSSID,•½‹Ï,•ªŽU
00:01:8e:3f:84:90,-76.06666667,7.792090395
00:01:8e:3f:84:91,-75.62790698,6.763012182
00:01:8e:3f:84:92,-85.81481481,3.602777778
00:01:8e:41:6e:aa,-84.14285714,0.142857143
00:01:8e:e6:89:9c,-75.86585366,2.142276423
00:01:8e:e6:89:9e,-76.5,0.647887324
00:0c:e6:0a:08:6c,-55.3125,26.01503165
00:0c:e6:0a:3b:3a,-49.36781609,5.444533547
00:0c:e6:0a:44:4a,-49.65517241,6.833199679
00:0c:e6:0a:57:47,-74.01176471,24.91652661
00:0c:e6:0a:5e:9d,-70,9.395348837
00:0c:e6:0a:6e:d6,-54.71264368,15.20716386
00:0c:e6:0a:94:8d,-49.43678161,7.039561615
00:0c:e6:0a:99:ff,-56.81609195,25.17508688
00:0c:e6:0a:9e:f7,-59.33333333,47.5503876
00:0c:e6:0a:aa:f5,-68.33333333,9.410852713
00:0c:e6:0a:b0:cf,-68.86206897,6.562149158
00:0c:e6:0a:b7:ff,-58.56470588,8.891596639
00:0c:e6:0a:c7:b7,-57.67816092,18.4300989
00:0c:e6:0a:d5:1a,-50.74242424,11.17878788
00:0c:e6:0a:d6:4e,-56.88235294,17.29551821
00:0c:e6:0a:f5:3c,-56.79518072,57.57948869
00:0d:0b:cc:05:f9,-86,17.45454545
00:19:e3:fa:51:de,-80.98850575,3.197540765
00:1f:5b:89:65:ff,-73.5,2.454545455
00:24:36:ad:ee:16,-87.12328767,1.74847793
00:24:a5:b0:d8:bb,-88,#DIV/0!
00:3a:9d:a8:ab:c6,-71.59770115,5.173483026
00:3a:9d:a8:ab:c7,-84.20930233,1.508618331
00:a0:b0:c4:91:1c,-68.27160494,6.650308642
00:a0:b0:c4:91:1d,-67.88311688,9.867737526
00:e0:4c:81:98:02,-85,1.090909091
06:3a:9d:a8:ab:c7,-84.5,1.476470588
10:6f:3f:3d:5f:0a,-67.05747126,4.054798182
10:6f:3f:87:a2:3e,-75.78205128,9.185647686
10:6f:3f:87:a2:3f,-84.8313253,2.580957978
10:6f:3f:f5:31:6e,-72.89655172,6.931034483
1c:b1:7f:00:ee:7a,-72,1.894736842
1c:b1:7f:00:ee:7b,-80.6091954,4.10130981
1e:b1:7f:00:ee:7a,-78.05263158,12.59174964
1e:b1:7f:00:ee:7b,-82.31034483,3.146752205
1e:b1:7f:38:c3:72,-89,#DIV/0!
24:a2:e1:ec:79:c6,-73.15662651,5.377607993
24:a2:e1:ec:79:c7,-85.68,5.31
4c:e6:76:22:1d:ee,-81,9.692307692
4c:e6:76:4f:14:e2,-79,0
4c:e6:76:56:bb:30,-51.34482759,7.926222935
4c:e6:76:c3:5d:48,-64.20689655,1.700882117
4c:e6:76:c3:5d:49,-77.26436782,2.685110933
64:a5:c3:65:c6:0a,-60.05128205,3.523616734
64:a5:c3:65:c6:0b,-81.62068966,4.633520449
74:03:bd:ab:64:80,-71,#DIV/0!
88:1f:a1:2f:2d:64,-67.56321839,3.993049987
88:1f:a1:2f:2d:65,-84.89090909,10.91380471
88:57:ee:7d:1a:00,-68.48275862,5.671210906
88:57:ee:7d:1a:07,-78.04597701,2.230419674
88:57:ee:8a:53:d8,-58.28735632,5.811815023
90:72:40:10:c9:e4,-71.5106383,5.516188714
90:72:40:10:c9:e5,-84.7875,2.675791139
90:84:0d:df:47:c7,-79.63513514,3.412995187
90:84:0d:df:47:c8,-89,0
9c:5c:8e:8a:58:10,-85,0
a6:12:42:0b:95:9f,-86.125,6.125
bc:5c:4c:30:0f:e2,-80.4,0.933333333
c0:25:a2:35:b4:f2,-80.38888889,6.13015873
c0:25:a2:89:60:1a,-72.3125,3.666223404
c0:25:a2:89:60:1b,-80.27631579,4.122631579
c2:25:a2:ce:b2:12,-73.88505747,4.63779738
c6:25:a2:ce:b2:12,-74.14117647,3.741736695
dc:fb:02:29:23:c0,-81.3125,2.350806452
dc:fb:02:29:23:c7,-87,0
dc:fb:02:ab:f9:b0,-75.37349398,2.578313253
dc:fb:02:ab:f9:b5,-87.33898305,0.848626534
de:fb:02:29:23:c4,-79.73076923,1.324615385
fa:8f:ca:9e:0c:b5,-63.46666667,2.171171171
