00:0c:e6:0a:08:6c,-37.5,1
00:0c:e6:0a:57:47,-79.8,7.2
74:03:bd:ab:64:80,-76.8,16.2
00:26:87:0d:b4:8a,-80.167,0.16667
64:a5:c3:66:0a:ac,-82.5,1
4c:e6:76:c2:6b:d7,-85,2
24:a2:e1:ec:79:c6,-77.6667,1.0667
06:26:87:0d:b4:8a,-79.1667,0.1667
dc:fb:02:91:6c:15,-80.1667,4.96667
dc:fb:02:91:6c:10,-65.1667,2.567
90:84:0d:df:47:c7,-79.6,0.8
4c:e6:76:c3:5d:48,-87.8333,0.966667
1e:b1:7f:00:ee:7a,-81.8,0.2
1c:b1:7f:38:c3:73,-78.667,1.8667
1e:b1:7f:38:c3:73,-80.33,1.0667
1c:b1:7f:38:c3:72,-68.8333,13.36667
1e:b1:7f:38:c3:72,-72.5,27.1
00:0c:e6:0a:b0:cf,-50.333,7.0667
00:0c:e6:0a:d6:4e,-44.33,12.8
00:0c:e6:0a:44:4a,-52.857,25.14286
00:0c:e6:0a:c7:b7,-38.6,4.8
dc:fb:02:ab:f9:b0,-82.8,0.2
00:0c:e6:0a:3b:3a,-67.4,1.8
00:0c:e6:0a:5e:9d,-51.5,3.9
00:0c:e6:0a:9e:f7,-83.33,1.0667
00:0c:e6:0a:b7:ff,-43.2,16.7
00:01:8e:e6:89:9c,-86.667,1.333
00:a0:b0:c4:91:1d,-76.8,3.2
00:a0:b0:c4:91:1c,-74.8,16.2
